Probanden_ID__lfdn__AppNr,Probanden_ID__lfdn,V2,V4_1_Interview,V4_2_Interview,V4_3_Interview,V4_4_Interview,V6_1_Interview,V6_2_Interview,V6_3_Interview,V6_4_Interview,V12_1_Interview,V12_2_Interview,V12_3_Interview,V12_4_Interview,V17_2_Interview,V17_3_Interview,V17_4_Interview,V18_2_Interview,V18_3_Interview,V18_4_Interview,Group
HL_1__89__1,HL_1__89,1.0,1.0,1.0,,,8.0,8.0,,,8.0,8.0,,,10.0,,,9.0,,,2
HL_2__90__1,HL_2__90,2.0,5.0,1.0,,,9.0,9.0,,,8.0,8.0,,,10.0,,,6.0,,,2
HL_3__91__1,HL_3__91,1.0,1.0,6.0,,,9.0,9.0,,,5.0,5.0,,,10.0,,,10.0,,,2
HL_4__92__1,HL_4__92,2.0,1.0,1.0,,,10.0,10.0,,,4.0,4.0,,,10.0,,,10.0,,,2
HL_5__93__1,HL_5__93,2.0,1.0,2.0,,,8.0,8.0,,,3.0,3.0,,,10.0,,,9.0,,,2
CS4__352__1,CS4__352,1.0,3.0,4.0,,,3.0,3.0,,,7.0,8.0,,,3.0,,,1.0,,,2
HL_1__89__2,HL_1__89,2.0,1.0,1.0,,,8.0,8.0,,,7.0,7.0,,,10.0,,,7.0,,,2
HL_2__90__2,HL_2__90,2.0,5.0,7.0,,,9.0,9.0,,,8.0,8.0,,,10.0,,,7.0,,,2
HL_3__91__2,HL_3__91,2.0,2.0,2.0,,,9.0,9.0,,,8.0,8.0,,,10.0,,,8.0,,,2
HL_4__92__2,HL_4__92,2.0,1.0,4.0,,,10.0,10.0,,,2.0,2.0,,,9.0,,,9.0,,,2
HL_5__93__2,HL_5__93,1.0,1.0,4.0,,,9.0,9.0,,,5.0,5.0,,,10.0,,,9.0,,,2
CS4__352__2,CS4__352,2.0,2.0,2.0,,,8.0,8.0,,,9.0,5.0,,,9.0,,,4.0,,,2
HL_1__89__3,HL_1__89,1.0,3.0,3.0,,,8.0,8.0,,,5.0,5.0,,,5.0,,,9.0,,,2
HL_2__90__3,HL_2__90,2.0,3.0,5.0,,,10.0,10.0,,,9.0,9.0,,,8.0,,,8.0,,,2
HL_3__91__3,HL_3__91,2.0,2.0,7.0,,,9.0,9.0,,,3.0,3.0,,,8.0,,,6.0,,,2
HL_4__92__3,HL_4__92,2.0,2.0,5.0,,,10.0,10.0,,,10.0,10.0,,,7.0,,,7.0,,,2
HL_5__93__3,HL_5__93,1.0,1.0,4.0,,,8.0,8.0,,,7.0,7.0,,,8.0,,,9.0,,,2
CS4__352__3,CS4__352,2.0,2.0,2.0,,,9.0,9.0,,,8.0,8.0,,,9.0,,,4.0,,,2
HL_1__89__4,HL_1__89,2.0,1.0,1.0,,,8.0,8.0,,,10.0,10.0,,,7.0,,,10.0,,,2
HL_2__90__4,HL_2__90,1.0,2.0,3.0,,,10.0,10.0,,,7.0,7.0,,,10.0,,,7.0,,,2
HL_3__91__4,HL_3__91,1.0,2.0,7.0,,,9.0,9.0,,,2.0,2.0,,,9.0,,,7.0,,,2
HL_4__92__4,HL_4__92,2.0,2.0,7.0,,,10.0,10.0,,,8.0,8.0,,,7.0,,,9.0,,,2
HL_5__93__4,HL_5__93,1.0,1.0,4.0,,,9.0,9.0,,,9.0,9.0,,,5.0,,,6.0,,,2
CS4__352__4,CS4__352,1.0,2.0,2.0,,,10.0,10.0,,,10.0,8.0,,,8.0,,,5.0,,,2
HL_1__89__5,HL_1__89,2.0,2.0,3.0,,,7.0,7.0,,,6.0,6.0,,,8.0,,,8.0,,,2
HL_2__90__5,HL_2__90,1.0,1.0,6.0,,,10.0,10.0,,,3.0,3.0,,,10.0,,,10.0,,,2
HL_3__91__5,HL_3__91,1.0,2.0,6.0,,,9.0,9.0,,,5.0,5.0,,,5.0,,,6.0,,,2
HL_4__92__5,HL_4__92,2.0,3.0,4.0,,,10.0,10.0,,,9.0,9.0,,,7.0,,,9.0,,,2
HL_5__93__5,HL_5__93,1.0,1.0,1.0,,,9.0,9.0,,,9.0,9.0,,,7.0,,,6.0,,,2
CS4__352__5,CS4__352,1.0,1.0,1.0,,,10.0,10.0,,,10.0,8.0,,,8.0,,,6.0,,,2
HL_1__89__6,HL_1__89,1.0,4.0,3.0,,,7.0,7.0,,,4.0,4.0,,,5.0,,,8.0,,,2
HL_2__90__6,HL_2__90,2.0,1.0,6.0,,,10.0,10.0,,,7.0,7.0,,,5.0,,,6.0,,,2
HL_3__91__6,HL_3__91,2.0,2.0,6.0,,,9.0,9.0,,,7.0,7.0,,,10.0,,,8.0,,,2
HL_4__92__6,HL_4__92,2.0,3.0,4.0,,,10.0,10.0,,,1.0,1.0,,,6.0,,,7.0,,,2
HL_5__93__6,HL_5__93,1.0,1.0,1.0,,,9.0,9.0,,,4.0,4.0,,,8.0,,,7.0,,,2
HL_1__89__7,HL_1__89,1.0,5.0,6.0,,,7.0,7.0,,,6.0,6.0,,,7.0,,,7.0,,,2
HL_2__90__7,HL_2__90,2.0,1.0,5.0,,,9.0,9.0,,,9.0,9.0,,,6.0,,,7.0,,,2
HL_3__91__7,HL_3__91,2.0,2.0,1.0,,,9.0,9.0,,,6.0,6.0,,,10.0,,,6.0,,,2
HL_4__92__7,HL_4__92,1.0,3.0,6.0,,,9.0,9.0,,,1.0,1.0,,,9.0,,,7.0,,,2
HL_5__93__7,HL_5__93,2.0,1.0,1.0,,,9.0,9.0,,,9.0,9.0,,,8.0,,,9.0,,,2
HL_1__89__8,HL_1__89,2.0,1.0,1.0,,,8.0,8.0,,,7.0,7.0,,,10.0,,,10.0,,,2
HL_2__90__8,HL_2__90,1.0,2.0,5.0,,,8.0,8.0,,,10.0,10.0,,,5.0,,,6.0,,,2
HL_3__91__8,HL_3__91,2.0,1.0,4.0,,,9.0,9.0,,,6.0,6.0,,,5.0,,,9.0,,,2
HL_4__92__8,HL_4__92,1.0,2.0,6.0,,,9.0,9.0,,,1.0,1.0,,,10.0,,,9.0,,,2
CS4__352__8,CS4__352,1.0,4.0,4.0,,,5.0,5.0,,,9.0,8.0,,,3.0,,,3.0,,,2
HL_1__89__9,HL_1__89,2.0,3.0,7.0,,,10.0,10.0,,,7.0,7.0,,,7.0,,,9.0,,,2
HL_2__90__9,HL_2__90,1.0,3.0,2.0,,,9.0,9.0,,,8.0,8.0,,,7.0,,,10.0,,,2
HL_3__91__9,HL_3__91,2.0,1.0,2.0,,,9.0,9.0,,,2.0,2.0,,,5.0,,,9.0,,,2
HL_4__92__9,HL_4__92,2.0,2.0,6.0,,,9.0,9.0,,,1.0,1.0,,,9.0,,,9.0,,,2
HL_1__89__10,HL_1__89,2.0,2.0,7.0,,,8.0,8.0,,,3.0,3.0,,,9.0,,,7.0,,,2
HL_2__90__10,HL_2__90,1.0,3.0,5.0,,,9.0,9.0,,,8.0,8.0,,,7.0,,,8.0,,,2
HL_3__91__10,HL_3__91,2.0,1.0,4.0,,,9.0,9.0,,,8.0,8.0,,,9.0,,,9.0,,,2
HL_4__92__10,HL_4__92,2.0,2.0,1.0,,,10.0,10.0,,,4.0,4.0,,,5.0,,,9.0,,,2
HL_1__89__11,HL_1__89,1.0,2.0,3.0,,,8.0,8.0,,,2.0,2.0,,,6.0,,,6.0,,,2
HL_2__90__11,HL_2__90,2.0,3.0,6.0,,,9.0,9.0,,,4.0,4.0,,,5.0,,,7.0,,,2
HL_3__91__11,HL_3__91,2.0,1.0,5.0,,,9.0,9.0,,,8.0,8.0,,,8.0,,,8.0,,,2
HL_4__92__11,HL_4__92,1.0,2.0,2.0,,,10.0,10.0,,,9.0,9.0,,,10.0,,,10.0,,,2
HL_1__89__12,HL_1__89,1.0,2.0,1.0,,,8.0,8.0,,,9.0,9.0,,,9.0,,,8.0,,,2
HL_2__90__12,HL_2__90,2.0,1.0,2.0,,,9.0,9.0,,,4.0,4.0,,,8.0,,,10.0,,,2
HL_3__91__12,HL_3__91,2.0,1.0,4.0,,,9.0,9.0,,,5.0,5.0,,,5.0,,,8.0,,,2
HL_4__92__12,HL_4__92,1.0,2.0,1.0,,,10.0,10.0,,,4.0,4.0,,,6.0,,,8.0,,,2
HL_1__89__13,HL_1__89,2.0,2.0,7.0,,,8.0,8.0,,,7.0,7.0,,,5.0,,,8.0,,,2
HL_2__90__13,HL_2__90,1.0,3.0,7.0,,,9.0,9.0,,,7.0,7.0,,,8.0,,,6.0,,,2
HL_3__91__13,HL_3__91,2.0,2.0,3.0,,,9.0,9.0,,,2.0,2.0,,,10.0,,,7.0,,,2
HL_4__92__13,HL_4__92,2.0,2.0,4.0,,,10.0,10.0,,,1.0,1.0,,,9.0,,,10.0,,,2
HL_1__89__14,HL_1__89,1.0,5.0,7.0,,,9.0,9.0,,,7.0,7.0,,,10.0,,,6.0,,,2
HL_2__90__14,HL_2__90,1.0,4.0,4.0,,,9.0,9.0,,,9.0,9.0,,,8.0,,,9.0,,,2
HL_3__91__14,HL_3__91,2.0,3.0,6.0,,,9.0,9.0,,,4.0,4.0,,,10.0,,,6.0,,,2
HL_1__89__15,HL_1__89,1.0,5.0,3.0,,,8.0,8.0,,,1.0,1.0,,,10.0,,,9.0,,,2
HL_2__90__15,HL_2__90,2.0,4.0,7.0,,,9.0,9.0,,,6.0,6.0,,,5.0,,,7.0,,,2
HL_3__91__15,HL_3__91,1.0,3.0,2.0,,,9.0,9.0,,,10.0,10.0,,,8.0,,,7.0,,,2
Kl911__143__16,Kl911__143,1.0,3.0,7.0,,,6.0,5.0,,,9.0,7.0,,,2.0,,,,,,2
